,time,pnl,win
123,2024-05-11 00:49:20.994,0.0,0.0
124,2024-05-11 00:49:33.380,0.5454,1.0
125,2024-05-11 00:49:38.784,0.3636,1.0
126,2024-05-11 00:50:02.898,0.0,0.0
127,2024-05-11 00:56:00.374,0.909,1.0
128,2024-05-11 00:58:20.985,0.0,0.0
129,2024-05-11 01:22:09.615,2.302,1.0
130,2024-05-11 01:22:28.856,0.0,0.0
131,2024-05-11 01:22:33.797,0.907,1.0
132,2024-05-11 01:22:49.293,0.0,0.0
133,2024-05-11 01:24:03.881,0.90699999,1.0
134,2024-05-11 01:24:20.474,0.0,0.0
135,2024-05-11 01:24:26.961,0.6342,1.0
136,2024-05-11 01:24:26.961,0.2718,1.0
137,2024-05-11 01:24:48.465,0.0,0.0
138,2024-05-11 01:25:12.116,0.959,1.0
139,2024-05-11 01:25:31.608,0.0,0.0
140,2024-05-11 01:25:31.608,0.0,0.0
141,2024-05-11 01:25:31.608,0.0,0.0
142,2024-05-11 02:00:19.485,2.0774,1.0
143,2024-05-11 02:00:40.346,0.0,0.0
144,2024-05-11 05:11:21.421,2.493,1.0
145,2024-05-11 05:11:49.131,0.0,0.0
146,2024-05-11 05:11:49.387,0.5825,1.0
147,2024-05-11 05:11:49.433,0.453,1.0
148,2024-05-11 05:12:16.269,0.0,0.0
149,2024-05-11 05:12:21.724,0.5424,1.0
150,2024-05-11 05:12:25.376,0.3616,1.0
151,2024-05-11 05:12:43.347,0.0,0.0
152,2024-05-11 05:15:29.397,3.003,1.0
153,2024-05-11 05:15:40.712,0.0,0.0
154,2024-05-11 05:15:46.250,1.0725,1.0
155,2024-05-11 05:15:46.250,1.0725,1.0
156,2024-05-11 05:16:03.147,0.0,0.0
157,2024-05-11 05:17:44.070,1.0818,1.0
158,2024-05-11 05:18:02.145,0.7212,1.0
159,2024-05-11 05:22:38.326,0.0,0.0
160,2024-05-11 06:40:54.458,0.90599999,1.0
161,2024-05-11 06:41:09.704,0.0,0.0
162,2024-05-11 06:41:09.704,0.0,0.0
163,2024-05-11 06:41:23.071,1.502,1.0
164,2024-05-11 06:41:46.987,0.0,0.0
165,2024-05-11 06:43:41.447,0.2724,1.0
166,2024-05-11 06:45:04.340,0.6356,1.0
167,2024-05-11 06:46:08.493,0.0,0.0
168,2024-05-11 06:46:19.023,0.0,0.0
169,2024-05-11 06:48:05.783,0.90799999,1.0
170,2024-05-11 06:48:12.986,0.0,0.0
171,2024-05-11 10:44:16.806,3.604,1.0
